"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"1",NA,"381 mi","12.1 mi","377 mi","552 mi","24.2 mi","832 mi","202 mi","337 mi","643 mi","337 mi","835 mi","673 mi","236 mi","626 mi","855 mi","84.2 mi","496 mi","909 mi","277 mi","382 mi","531 mi","584 mi","669 mi","716 mi","136 mi","787 mi","807 mi","54.0 mi","715 mi"
"2","381 mi",NA,"377 mi","5.9 mi","333 mi","401 mi","671 mi","411 mi","212 mi","266 mi","69.4 mi","674 mi","455 mi","218 mi","457 mi","475 mi","319 mi","116 mi","529 mi","118 mi","2.8 mi","152 mi","205 mi","290 mi","336 mi","250 mi","622 mi","647 mi","330 mi","335 mi"
"3","12.1 mi","377 mi",NA,"374 mi","553 mi","25.3 mi","833 mi","199 mi","334 mi","644 mi","334 mi","836 mi","674 mi","232 mi","628 mi","851 mi","80.7 mi","492 mi","905 mi","273 mi","379 mi","528 mi","581 mi","666 mi","712 mi","132 mi","788 mi","809 mi","50.6 mi","711 mi"
"4","377 mi","5.9 mi","374 mi",NA,"336 mi","399 mi","675 mi","407 mi","217 mi","269 mi","65.5 mi","677 mi","458 mi","217 mi","460 mi","478 mi","315 mi","119 mi","532 mi","114 mi","6.3 mi","156 mi","208 mi","293 mi","340 mi","246 mi","626 mi","650 mi","326 mi","338 mi"
"5","552 mi","333 mi","553 mi","336 mi",NA,"527 mi","343 mi","628 mi","543 mi","149 mi","345 mi","345 mi","126 mi","360 mi","128 mi","533 mi","536 mi","314 mi","587 mi","444 mi","330 mi","477 mi","453 mi","538 mi","662 mi","465 mi","294 mi","318 mi","527 mi","404 mi"
"6","24.2 mi","401 mi","25.3 mi","399 mi","527 mi",NA,"808 mi","223 mi","358 mi","618 mi","358 mi","810 mi","648 mi","229 mi","601 mi","876 mi","105 mi","517 mi","930 mi","298 mi","403 mi","552 mi","605 mi","690 mi","737 mi","157 mi","762 mi","783 mi","74.9 mi","735 mi"
"7","832 mi","671 mi","833 mi","675 mi","343 mi","808 mi",NA,"907 mi","882 mi","488 mi","683 mi","10.9 mi","285 mi","639 mi","237 mi","872 mi","816 mi","653 mi","926 mi","771 mi","669 mi","816 mi","792 mi","877 mi","1,000 mi","744 mi","52.2 mi","30.9 mi","806 mi","742 mi"
"8","202 mi","411 mi","199 mi","407 mi","628 mi","223 mi","907 mi",NA,"237 mi","617 mi","365 mi","910 mi","748 mi","266 mi","701 mi","837 mi","123 mi","523 mi","890 mi","304 mi","410 mi","493 mi","547 mi","632 mi","638 mi","175 mi","862 mi","882 mi","149 mi","747 mi"
"9","337 mi","212 mi","334 mi","217 mi","543 mi","358 mi","882 mi","237 mi",NA,"483 mi","236 mi","885 mi","666 mi","265 mi","668 mi","603 mi","260 mi","323 mi","657 mi","197 mi","214 mi","260 mi","314 mi","399 mi","404 mi","238 mi","834 mi","858 mi","285 mi","514 mi"
"10","643 mi","266 mi","644 mi","269 mi","149 mi","618 mi","488 mi","617 mi","483 mi",NA,"278 mi","490 mi","271 mi","357 mi","273 mi","388 mi","527 mi","192 mi","442 mi","377 mi","275 mi","296 mi","308 mi","393 mi","483 mi","455 mi","439 mi","463 mi","535 mi","258 mi"
"11","337 mi","69.4 mi","334 mi","65.5 mi","345 mi","358 mi","683 mi","365 mi","236 mi","278 mi",NA,"688 mi","469 mi","165 mi","471 mi","545 mi","275 mi","186 mi","598 mi","73.7 mi","72.0 mi","221 mi","274 mi","359 mi","406 mi","206 mi","637 mi","661 mi","286 mi","404 mi"
"12","835 mi","674 mi","836 mi","677 mi","345 mi","810 mi","10.9 mi","910 mi","885 mi","490 mi","688 mi",NA,"280 mi","641 mi","239 mi","874 mi","818 mi","655 mi","928 mi","773 mi","671 mi","818 mi","794 mi","879 mi","1,003 mi","746 mi","56.9 mi","33.0 mi","808 mi","744 mi"
"13","673 mi","455 mi","674 mi","458 mi","126 mi","648 mi","285 mi","748 mi","666 mi","271 mi","469 mi","280 mi",NA,"479 mi","98.3 mi","655 mi","656 mi","436 mi","709 mi","566 mi","452 mi","599 mi","575 mi","660 mi","784 mi","585 mi","225 mi","261 mi","647 mi","525 mi"
"14","236 mi","218 mi","232 mi","217 mi","360 mi","229 mi","639 mi","266 mi","265 mi","357 mi","165 mi","641 mi","479 mi",NA,"434 mi","682 mi","175 mi","323 mi","736 mi","137 mi","216 mi","363 mi","416 mi","501 mi","548 mi","103 mi","594 mi","615 mi","184 mi","542 mi"
"15","626 mi","457 mi","628 mi","460 mi","128 mi","601 mi","237 mi","701 mi","668 mi","273 mi","471 mi","239 mi","98.3 mi","434 mi",NA,"658 mi","606 mi","439 mi","712 mi","562 mi","455 mi","601 mi","578 mi","663 mi","786 mi","534 mi","190 mi","211 mi","597 mi","528 mi"
"16","855 mi","475 mi","851 mi","478 mi","533 mi","876 mi","872 mi","837 mi","603 mi","388 mi","545 mi","874 mi","655 mi","682 mi","658 mi",NA,"792 mi","365 mi","80.8 mi","590 mi","473 mi","346 mi","296 mi","300 mi","357 mi","722 mi","822 mi","847 mi","803 mi","150 mi"
"17","84.2 mi","319 mi","80.7 mi","315 mi","536 mi","105 mi","816 mi","123 mi","260 mi","527 mi","275 mi","818 mi","656 mi","175 mi","606 mi","792 mi",NA,"433 mi","845 mi","213 mi","319 mi","468 mi","521 mi","606 mi","653 mi","75.8 mi","772 mi","792 mi","31.8 mi","651 mi"
"18","496 mi","116 mi","492 mi","119 mi","314 mi","517 mi","653 mi","523 mi","323 mi","192 mi","186 mi","655 mi","436 mi","323 mi","439 mi","365 mi","433 mi",NA,"420 mi","228 mi","110 mi","111 mi","156 mi","241 mi","299 mi","360 mi","600 mi","624 mi","440 mi","225 mi"
"19","909 mi","529 mi","905 mi","532 mi","587 mi","930 mi","926 mi","890 mi","657 mi","442 mi","598 mi","928 mi","709 mi","736 mi","712 mi","80.8 mi","845 mi","420 mi",NA,"645 mi","527 mi","401 mi","350 mi","303 mi","345 mi","777 mi","877 mi","901 mi","857 mi","204 mi"
"20","277 mi","118 mi","273 mi","114 mi","444 mi","298 mi","771 mi","304 mi","197 mi","377 mi","73.7 mi","773 mi","566 mi","137 mi","562 mi","590 mi","213 mi","228 mi","645 mi",NA,"123 mi","272 mi","324 mi","409 mi","456 mi","145 mi","726 mi","746 mi","225 mi","455 mi"
