"","Massachusetts Institute of Technology (MIT) ","Harvard University","University of Pennsylvania","Cornell University","Yale University","Princeton University","Columbia University","Johns Hopkins University","New York University (NYU)","Carnegie Mellon University","Brown University","Pennsylvania State University","Boston University","University of Maryland, College Park","University of Pittsburgh","University of Rochester","Dartmouth College","University of Massachusetts Amherst","University of Virginia","Georgetown University","Rutgers University–New Brunswick","George Washington University","Yeshiva University","Northeastern University","Tufts University","Stony Brook University, State University of New York","University of Connecticut","University at Buffalo SUNY","Rensselaer Polytechnic Institute","University of Delaware","City University of New York","Lehigh University","Drexel University","Stevens Institute of Technology","Boston College","New Jersey Institute of Technology (NJIT)","The New School","Brandeis University","University of Maryland, Baltimore County","Temple University","Swarthmore College","Virginia Commonwealth University","Rutgers University–Newark","University at Albany SUNY","Syracuse University","American University","Clarkson University","Clark University","University of Massachusetts Boston","Wesleyan University","Worcester Polytechnic Institute","College of William and Mary","University of Vermont","West Virginia University","George Mason University","Binghamton University SUNY","Fordham University ","Howard University","Rochester Institute of Technology (RIT)","University of New Hampshire","University of Rhode Island ","The City College of New York","Rutgers University–Camden"
"Massachusetts Institute of Technology (MIT) ",NA,"1.6 mi","311 mi","330 mi","135 mi","263 mi","206 mi","403 mi","211 mi","569 mi","56.8 mi","437 mi","1.5 mi","432 mi","568 mi","392 mi","128 mi","92.7 mi","553 mi","445 mi","248 mi","441 mi","203 mi","1.7 mi","8.4 mi","175 mi","82.2 mi","450 mi","172 mi","346 mi","213 mi","302 mi","310 mi","214 mi","5.3 mi","223 mi","212 mi","12.9 mi","409 mi","305 mi","323 mi","550 mi","223 mi","171 mi","309 mi","441 mi","357 mi","45.7 mi","7.0 mi","114 mi","46.6 mi","597 mi","217 mi","597 mi","458 mi","309 mi","200 mi","437 mi","392 mi","67.7 mi","84.3 mi","206 mi","304 mi"
"Harvard University","1.6 mi",NA,"310 mi","329 mi","134 mi","262 mi","205 mi","402 mi","210 mi","567 mi","55.7 mi","436 mi","4.1 mi","431 mi","567 mi","391 mi","125 mi","88.9 mi","552 mi","444 mi","247 mi","440 mi","202 mi","4.3 mi","2.7 mi","174 mi","81.1 mi","448 mi","170 mi","344 mi","212 mi","300 mi","309 mi","213 mi","5.7 mi","222 mi","211 mi","11.8 mi","408 mi","304 mi","322 mi","549 mi","222 mi","170 mi","308 mi","440 mi","359 mi","44.6 mi","8.6 mi","113 mi","45.5 mi","596 mi","215 mi","596 mi","457 mi","308 mi","199 mi","436 mi","391 mi","70.2 mi","83.2 mi","205 mi","303 mi"
"University of Pennsylvania","311 mi","310 mi",NA,"229 mi","176 mi","47.9 mi","107 mi","101 mi","96.2 mi","304 mi","276 mi","192 mi","306 mi","130 mi","303 mi","342 mi","360 mi","261 mi","251 mi","143 mi","67.0 mi","139 mi","105 mi","307 mi","311 mi","163 mi","234 mi","399 mi","241 mi","43.4 mi","95.7 mi","56.7 mi","0.6 mi","96.5 mi","303 mi","91.3 mi","96.3 mi","298 mi","107 mi","4.1 mi","16.6 mi","248 mi","91.4 mi","240 mi","254 mi","139 mi","394 mi","269 mi","310 mi","198 mi","271 mi","295 mi","383 mi","311 mi","155 mi","188 mi","111 mi","135 mi","342 mi","366 mi","256 mi","107 mi","5.3 mi"
"Cornell University","330 mi","329 mi","229 mi",NA,"259 mi","232 mi","229 mi","307 mi","223 mi","313 mi","326 mi","181 mi","330 mi","341 mi","313 mi","93.0 mi","299 mi","263 mi","455 mi","336 mi","224 mi","337 mi","226 mi","331 mi","335 mi","287 mi","297 mi","151 mi","170 mi","261 mi","223 mi","180 mi","229 mi","224 mi","327 mi","212 mi","226 mi","322 mi","314 mi","230 mi","229 mi","439 mi","213 mi","160 mi","53.6 mi","334 mi","193 mi","293 mi","334 mi","274 mi","295 mi","486 mi","280 mi","359 mi","344 mi","46.1 mi","234 mi","348 mi","92.9 mi","390 mi","354 mi","228 mi","232 mi"
"Yale University","135 mi","134 mi","176 mi","259 mi",NA,"131 mi","76.3 mi","271 mi","79.2 mi","447 mi","103 mi","315 mi","135 mi","300 mi","446 mi","374 mi","189 mi","89.4 mi","421 mi","312 mi","116 mi","309 mi","71.4 mi","136 mi","140 mi","42.7 mi","62.5 mi","432 mi","154 mi","213 mi","81.3 mi","171 mi","178 mi","83.7 mi","132 mi","91.1 mi","79.0 mi","127 mi","277 mi","173 mi","190 mi","418 mi","90.4 mi","153 mi","292 mi","309 mi","342 mi","98.1 mi","139 mi","26.7 mi","99.9 mi","465 mi","272 mi","467 mi","325 mi","216 mi","66.8 mi","305 mi","374 mi","195 mi","82.5 mi","73.6 mi","171 mi"
"Princeton University","263 mi","262 mi","47.9 mi","232 mi","131 mi",NA,"62.5 mi","148 mi","51.6 mi","334 mi","232 mi","223 mi","262 mi","177 mi","334 mi","336 mi","315 mi","216 mi","298 mi","189 mi","20.2 mi","186 mi","60.4 mi","262 mi","267 mi","118 mi","189 mi","394 mi","192 mi","90.2 mi","51.1 mi","61.7 mi","49.9 mi","51.9 mi","258 mi","43.8 mi","51.7 mi","254 mi","154 mi","45.0 mi","61.1 mi","295 mi","43.9 mi","191 mi","249 mi","186 mi","380 mi","225 mi","266 mi","153 mi","226 mi","342 mi","334 mi","339 mi","202 mi","183 mi","65.9 mi","182 mi","336 mi","321 mi","211 mi","62.3 mi","52.2 mi"
"Columbia University","206 mi","205 mi","107 mi","229 mi","76.3 mi","62.5 mi",NA,"202 mi","8.2 mi","374 mi","177 mi","242 mi","206 mi","232 mi","374 mi","340 mi","260 mi","160 mi","353 mi","244 mi","47.3 mi","241 mi","4.5 mi","207 mi","211 mi","64.8 mi","134 mi","398 mi","150 mi","145 mi","9.1 mi","95.1 mi","110 mi","9.1 mi","203 mi","22.7 mi","7.7 mi","198 mi","209 mi","105 mi","122 mi","350 mi","22.0 mi","148 mi","253 mi","240 mi","338 mi","169 mi","210 mi","97.8 mi","171 mi","396 mi","292 mi","390 mi","257 mi","187 mi","11.8 mi","237 mi","340 mi","266 mi","156 mi","1.3 mi","103 mi"
"Johns Hopkins University","403 mi","402 mi","101 mi","307 mi","271 mi","148 mi","202 mi",NA,"199 mi","244 mi","379 mi","164 mi","409 mi","36.4 mi","243 mi","344 mi","463 mi","363 mi","157 mi","48.0 mi","170 mi","44.6 mi","208 mi","410 mi","414 mi","266 mi","336 mi","376 mi","344 mi","69.0 mi","198 mi","149 mi","109 mi","199 mi","405 mi","194 mi","199 mi","401 mi","13.2 mi","113 mi","98.6 mi","157 mi","194 mi","342 mi","332 mi","44.8 mi","471 mi","372 mi","413 mi","301 mi","374 mi","203 mi","486 mi","210 mi","61.5 mi","266 mi","213 mi","40.6 mi","340 mi","468 mi","358 mi","209 mi","115 mi"
"New York University (NYU)","211 mi","210 mi","96.2 mi","223 mi","79.2 mi","51.6 mi","8.2 mi","199 mi",NA,"368 mi","180 mi","237 mi","211 mi","221 mi","368 mi","335 mi","265 mi","165 mi","342 mi","233 mi","36.3 mi","230 mi","10.7 mi","212 mi","216 mi","62.7 mi","138 mi","393 mi","157 mi","134 mi","1.4 mi","82.9 mi","98.5 mi","5.1 mi","208 mi","12.2 mi","0.8 mi","203 mi","198 mi","93.7 mi","111 mi","339 mi","11.6 mi","155 mi","248 mi","229 mi","345 mi","174 mi","215 mi","103 mi","176 mi","385 mi","299 mi","378 mi","246 mi","182 mi","14.9 mi","226 mi","335 mi","271 mi","159 mi","9.3 mi","91.9 mi"
"Carnegie Mellon University","569 mi","567 mi","304 mi","313 mi","447 mi","334 mi","374 mi","244 mi","368 mi",NA,"547 mi","138 mi","568 mi","242 mi","1.3 mi","289 mi","620 mi","521 mi","315 mi","239 mi","358 mi","239 mi","372 mi","569 mi","573 mi","432 mi","496 mi","228 mi","465 mi","278 mi","370 mi","289 mi","302 mi","369 mi","565 mi","358 mi","370 mi","561 mi","241 mi","303 mi","302 mi","341 mi","358 mi","463 mi","364 mi","236 mi","497 mi","531 mi","572 mi","463 mi","533 mi","388 mi","585 mi","76.8 mi","246 mi","310 mi","377 mi","240 mi","283 mi","628 mi","526 mi","373 mi","305 mi"
"Brown University","56.8 mi","55.7 mi","276 mi","326 mi","103 mi","232 mi","177 mi","379 mi","180 mi","547 mi",NA,"416 mi","53.4 mi","401 mi","547 mi","389 mi","175 mi","89.4 mi","522 mi","413 mi","216 mi","410 mi","172 mi","49.8 mi","55.9 mi","143 mi","50.9 mi","446 mi","168 mi","314 mi","182 mi","272 mi","279 mi","184 mi","48.3 mi","192 mi","180 mi","47.6 mi","378 mi","274 mi","291 mi","519 mi","191 mi","168 mi","306 mi","409 mi","357 mi","40.2 mi","46.3 mi","95.9 mi","41.1 mi","565 mi","265 mi","567 mi","426 mi","305 mi","167 mi","406 mi","389 mi","122 mi","29.4 mi","174 mi","272 mi"
"Pennsylvania State University","437 mi","436 mi","192 mi","181 mi","315 mi","223 mi","242 mi","164 mi","237 mi","138 mi","416 mi",NA,"436 mi","199 mi","137 mi","234 mi","488 mi","389 mi","291 mi","215 mi","237 mi","216 mi","239 mi","437 mi","441 mi","299 mi","364 mi","207 mi","332 mi","168 mi","235 mi","173 mi","193 mi","236 mi","433 mi","225 mi","239 mi","428 mi","172 mi","193 mi","193 mi","318 mi","225 mi","331 mi","240 mi","212 mi","380 mi","399 mi","440 mi","331 mi","401 mi","364 mi","475 mi","184 mi","222 mi","178 mi","245 mi","206 mi","231 mi","496 mi","394 mi","241 mi","196 mi"
