"","University of Chicago","University of Michigan-Ann Arbor","Northwestern University","University of Illinois at Urbana-Champaign","Purdue University","University of Wisconsin-Madison","Michigan State University","The Ohio State University","Washington University in St. Louis","University of Minnesota Twin Cities","Case Western Reserve University","Vanderbilt University","University of Notre Dame","Indiana University Bloomington","University of Illinois at Chicago (UIC)","Iowa State University","Illinois Institute of Technology","Missouri University of Science and Technology","University of Iowa","University of Missouri, Columbia","University of Kentucky","University of Cincinnati","Wayne State University","Michigan Technological University","Loyola University Chicago","Saint Louis University","Indiana University–Purdue University Indianapolis","Kent State University","Ohio University","University of Louisville College of Business","University of Toledo","University of Wisconsin Milwaukee ","Western Michigan University","Central Michigan University","Cleveland State University","Indiana State University","Marquette University","Miami University","University of Memphis","University of Missouri Saint Louis","Illinois State University"
"University of Chicago",NA,"234 mi","21.6 mi","131 mi","115 mi","155 mi","215 mi","349 mi","305 mi","413 mi","341 mi","466 mi","89.1 mi","225 mi","7.7 mi","355 mi","4.6 mi","403 mi","231 mi","387 mi","366 mi","287 mi","273 mi","421 mi","16.7 mi","300 mi","175 mi","362 mi","424 mi","292 mi","232 mi","103 mi","139 mi","254 mi","338 mi","176 mi","98.5 mi","276 mi","536 mi","307 mi","134 mi"
"University of Michigan-Ann Arbor","234 mi",NA,"255 mi","343 mi","258 mi","393 mi","64.1 mi","185 mi","516 mi","651 mi","171 mi","523 mi","170 mi","316 mi","240 mi","573 mi","237 mi","615 mi","449 mi","598 mi","332 mi","248 mi","41.7 mi","537 mi","250 mi","511 mi","267 mi","193 mi","268 mi","350 mi","50.9 mi","336 mi","100 mi","130 mi","169 mi","343 mi","331 mi","241 mi","723 mi","518 mi","345 mi"
"Northwestern University","21.6 mi","255 mi",NA,"150 mi","136 mi","147 mi","236 mi","371 mi","318 mi","409 mi","362 mi","487 mi","110 mi","246 mi","16.8 mi","357 mi","17.6 mi","416 mi","233 mi","400 mi","387 mi","308 mi","294 mi","402 mi","4.8 mi","313 mi","196 mi","383 mi","445 mi","313 mi","253 mi","83.4 mi","160 mi","275 mi","359 mi","195 mi","79.0 mi","297 mi","555 mi","320 mi","147 mi"
"University of Illinois at Urbana-Champaign","131 mi","343 mi","150 mi",NA,"91.5 mi","255 mi","323 mi","297 mi","182 mi","513 mi","440 mi","374 mi","198 mi","168 mi","136 mi","372 mi","132 mi","280 mi","248 mi","291 mi","312 mi","232 mi","381 mi","548 mi","145 mi","177 mi","119 mi","434 mi","371 mi","238 mi","332 mi","229 mi","247 mi","362 mi","438 mi","90.2 mi","225 mi","214 mi","405 mi","184 mi","55.7 mi"
"Purdue University","115 mi","258 mi","136 mi","91.5 mi",NA,"272 mi","251 mi","239 mi","276 mi","530 mi","323 mi","356 mi","113 mi","115 mi","121 mi","451 mi","118 mi","375 mi","327 mi","386 mi","256 mi","177 mi","280 mi","542 mi","131 mi","271 mi","65.3 mi","340 mi","314 mi","182 mi","216 mi","223 mi","201 mi","315 mi","321 mi","93.4 mi","219 mi","166 mi","499 mi","278 mi","115 mi"
"University of Wisconsin-Madison","155 mi","393 mi","147 mi","255 mi","272 mi",NA,"373 mi","505 mi","367 mi","268 mi","500 mi","623 mi","248 mi","380 mi","148 mi","279 mi","150 mi","465 mi","178 mi","412 mi","521 mi","442 mi","431 mi","327 mi","144 mi","362 mi","330 mi","521 mi","579 mi","447 mi","391 mi","83.8 mi","297 mi","411 mi","497 mi","339 mi","79.4 mi","431 mi","650 mi","369 mi","197 mi"
"Michigan State University","215 mi","64.1 mi","236 mi","323 mi","251 mi","373 mi",NA,"249 mi","497 mi","632 mi","236 mi","544 mi","160 mi","309 mi","221 mi","553 mi","218 mi","595 mi","429 mi","579 mi","397 mi","312 mi","87.6 mi","493 mi","231 mi","492 mi","259 mi","257 mi","332 mi","371 mi","115 mi","316 mi","80.8 mi","69.2 mi","233 mi","336 mi","312 mi","269 mi","728 mi","499 mi","326 mi"
"The Ohio State University","349 mi","185 mi","371 mi","297 mi","239 mi","505 mi","249 mi",NA,"427 mi","766 mi","145 mi","386 mi","271 mi","228 mi","357 mi","665 mi","354 mi","525 mi","541 mi","536 mi","195 mi","110 mi","198 mi","721 mi","367 mi","422 mi","178 mi","138 mi","82.4 mi","212 mi","141 mi","459 mi","272 mi","314 mi","142 mi","255 mi","454 mi","122 mi","585 mi","429 mi","349 mi"
"Washington University in St. Louis","305 mi","516 mi","318 mi","182 mi","276 mi","367 mi","497 mi","427 mi",NA,"556 mi","569 mi","317 mi","372 mi","234 mi","303 mi","375 mi","302 mi","102 mi","256 mi","119 mi","351 mi","354 mi","536 mi","685 mi","313 mi","5.8 mi","249 mi","562 mi","500 mi","277 mi","473 mi","384 mi","420 mi","535 mi","566 mi","176 mi","379 mi","337 mi","295 mi","9.9 mi","175 mi"
"University of Minnesota Twin Cities","413 mi","651 mi","409 mi","513 mi","530 mi","268 mi","632 mi","766 mi","556 mi",NA,"758 mi","881 mi","507 mi","638 mi","406 mi","218 mi","409 mi","562 mi","279 mi","475 mi","780 mi","700 mi","690 mi","367 mi","402 mi","534 mi","589 mi","780 mi","838 mi","706 mi","650 mi","338 mi","556 mi","670 mi","756 mi","598 mi","334 mi","690 mi","812 mi","527 mi","456 mi"
