"Name","Latitude","Longitude","Cluster"
"Massachusetts Institute of Technology (MIT) ",42.360091,-71.09416,3
"Harvard University",42.3744368,-71.1182488,3
"Stanford University",37.42766,-122.17006,4
"University of California, Berkeley (UCB)",37.870151,-122.2594606,4
"University of Chicago",41.7904484,-87.6003953,5
"University of Pennsylvania",39.9522188,-75.1932137,3
"Cornell University",42.4534492,-76.4735027,3
"California Institute of Technology (Caltech)",34.1376576,-118.125269,4
"Yale University",41.3163244,-72.9223431,3
"Princeton University",40.3430942,-74.6550739,3
"Columbia University",40.8075355,-73.9625727,3
"Johns Hopkins University",39.3299013,-76.6205177,3
"University of California, Los Angeles (UCLA)",34.0699182,-118.4438495,4
"University of Michigan-Ann Arbor",42.277145,-83.7382071,5
"New York University (NYU)",40.7295134,-73.9964609,3
"Northwestern University",42.0564594,-87.675267,5
"Carnegie Mellon University",40.4432027,-79.9428499,3
"Duke University",36.0014258,-78.9382286,2
"University of Texas at Austin",30.2850284,-97.7335226,1
"University of California, San Diego (UCSD)",32.8800604,-117.2340135,4
"University of Washington",47.6546407,-122.3074579,4
"University of Illinois at Urbana-Champaign",40.1019523,-88.2271615,5
"Brown University",41.8267718,-71.4025482,3
"Pennsylvania State University",40.7982133,-77.8599084,3
"Boston University",42.3504997,-71.1053991,3
"Georgia Institute of Technology",33.7756178,-84.396285,2
"Purdue University",40.4237054,-86.9211946,5
"University of Wisconsin-Madison",43.076592,-89.4124875,5
"University of Southern California",34.0223519,-118.285117,4
"University of California, Davis",38.5382322,-121.7617125,4
"University of North Carolina at Chapel Hill",35.9049122,-79.0469134,2
"Texas A&M University",31.9685988,-99.9018131,1
"Michigan State University",42.7250725,-84.4790827,5
"Rice University",29.7173941,-95.4018312,1
"The Ohio State University",40.0066723,-83.0304546,5
"Washington University in St. Louis",38.6487895,-90.3107962,5
"University of California, Santa Barbara (UCSB)",34.4139629,-119.848947,4
"Emory University",33.7971368,-84.32224,2
"University of Florida",29.6465428,-82.3533266,2
"University of Maryland, College Park",38.9869183,-76.9425543,3
"Arizona State University",33.4169108,-111.9363253,4
"University of Minnesota Twin Cities",44.97399,-93.2277285,5
"University of Pittsburgh",40.4440279,-79.9605375,3
"University of Rochester",43.1305531,-77.6260033,3
"Dartmouth College",43.7044406,-72.2886934,3
"University of Massachusetts Amherst",42.3867598,-72.5300515,3
"Case Western Reserve University",41.5043413,-81.6083838,5
"University of Virginia",38.0335529,-78.5079772,3
"Vanderbilt University",36.1447034,-86.8026551,5
"University of Colorado Boulder",40.0073499,-105.2659871,1
"University of California, Irvine",33.6423814,-117.8416747,4
"North Carolina State University",35.7850744,-78.6812824,2
"University of Miami",25.7173947,-80.2781262,2
"The University of Arizona",32.2318981,-110.9535407,1
"Georgetown University",38.9076089,-77.0722585,3
"Rutgers University–New Brunswick",40.5008405,-74.4474174,3
